id,target,context
157,absorbency,D01
158,absorbent characteristics,D01
159,absorbing polymer,D01
160,absorption characteristics,D01
161,absorption properties,D01
162,adsorbent properties,D01
163,adsorption performance,D01
164,capable of absorbing,D01
165,characteristic,D01
166,desiccant,D01
167,dielectric properties,D01
168,food absorption,D01
169,mechanical properties,D01
170,mechanical resistance,D01
171,metal properties,D01
172,moisture,D01
173,optical properties,D01
174,performance,D01
175,physical properties,D01
176,physical resistance,D01
177,physiological properties,D01
178,plastic properties,D01
179,polymer,D01
180,properties,D01
181,samples,D01
182,soaking,D01
183,soaking properties,D01
184,sponge,D01
185,water,D01
186,water penetration capacity,D01
187,amount,D21
188,formation,D21
189,strength,D21
190,aggrecan core protein,C07
191,aggrecan core protein precursor,C07
192,cartilage extracellular matrix,C07
193,cartilage specific proteoglycan core protein,C07
194,chondroitin sulfate proteoglycan 1,C07
195,coding language,C07
196,coding languages,C07
197,coding programming,C07
198,core strength,C07
199,gene,C07
200,genes,C07
201,hyalectans,C07
202,large aggregating proteoglycan,C07
203,lecticans,C07
204,machine learning,C07
205,neural network,C07
206,precursor,C07
207,protein,C07
208,protein coding gene,C07
209,proteins,C07
210,proteoglycans,C07
211,sox,C07
212,tissue expression,C07
213,accept the establishment,A45
214,accept this information,A45
215,acceptance angle,A45
216,accepting information from,A45
217,approve information,A45
218,authorization of information,A45
219,behaviour information analysis,A45
220,contain information,A45
221,contain items,A45
222,data accepted,A45
223,data set,A45
224,display,A45
225,display a data,A45
226,display a information,A45
227,display an information,A45
228,display data,A45
229,display information,A45
230,indicate a data,A45
231,indicate data,A45
232,indicate information,A45
233,informal letter,A45
234,information,A45
235,information data,A45
236,information processing apparatus,A45
237,information storage,A45
238,information value,A45
239,price he or she accepts,A45
240,receiving information,A45
241,sanction information,A45
242,third option to accept,A45
243,transaction information,A45
244,undertake information,A45
245,achieve access,H04
246,achieve authentication accuracy,H04
247,achieve authorization,H04
248,achieve goal,H04
249,achieve goals,H04
250,achieve local authentication,H04
251,achieve mutual authentication,H04
252,achieve success,H04
253,achieve target,H04
254,achieve the authentication requirement,H04
255,achieve verification,H04
256,biometric,H04
257,denial of authorization,H04
258,denied access,H04
259,encryption,H04
260,failed authorization request,H04
261,login,H04
262,multi factor authentication,H04
263,signature,H04
264,target achieved,H04
265,vehicle verification,H04
266,absorbent cotton,B01
267,absorption spectrum,B01
268,acid,B01
269,acid absorption column,B01
270,acid absorption tower,B01
271,acid digestion,B01
272,acid distillation,B01
273,acid recovery,B01
274,acid stripping,B01
275,acid wash,B01
276,acid wash distillation,B01
277,acid water distillation,B01
278,acid water wash,B01
279,acrylic acid absorption,B01
280,amino acids,B01
281,catalytic hydrogenation,B01
282,catalytic oxidation,B01
283,chemical analysis,B01
284,chemical inhibition,B01
285,h2so4 absorption,B01
286,hydro catalytic hydrogenation,B01
287,hydro catalytic oxidation,B01
288,hydrochloric acid absorption,B01
289,hydroformylation,B01
290,hydrogenation,B01
291,hydroxycarboxylicacid absorption,B01
292,membrane catalytic hydrogenation,B01
293,membrane catalytic oxidation,B01
294,membrane hydrogenation,B01
295,membrane oxidation,B01
296,near infrared ray absorption,B01
297,nitric acid absorption,B01
298,oxidation,B01
299,oxidative hydrogenation,B01
300,oxide,B01
301,oxide distillation,B01
302,oxide recovery,B01
303,oxide stripping,B01
304,oxide wash,B01
305,photon absorption,B01
306,photosynthesis,B01
307,phytic acid,B01
308,rosmarinic acid,B01
309,sulfuric acid,B01
310,transdermal absorption,B01
311,absorption of acid,B08
312,absorption of carbohydrates,B08
313,absorption tower,B08
314,acid,B08
315,acid absorption,B08
316,acid adsorption,B08
317,acid distillation,B08
318,acid exchange,B08
319,acid gas distillation,B08
320,acid gas exchange,B08
321,acid gas scrubbing,B08
322,acid immersion,B08
323,acid indigestion,B08
324,acid oxide distillation,B08
325,acid oxide scrubbing,B08
326,acid purification,B08
327,acid rain,B08
328,acid reflux,B08
329,acid scrubbing,B08
330,acid water,B08
331,acid water distillation,B08
332,acid water exchange,B08
333,acidic foods,B08
334,acidic immersion,B08
335,amino acid absorption,B08
336,chemical absorption,B08
337,chemically soaked,B08
338,fertilizer absorption,B08
339,hcl acid absorption,B08
340,multi section connection pipe,B08
341,oxide,B08
342,oxide acid distillation,B08
343,oxide acid exchange,B08
344,oxide distillation,B08
345,oxide exchange,B08
346,oxide gas distillation,B08
347,oxide gas exchange,B08
348,oxide gas scrubbing,B08
349,oxide purification,B08
350,oxide scrubbing,B08
351,oxide water,B08
352,oxide water distillation,B08
353,oxide water exchange,B08
354,soil water absorption,B08
355,spray washing bottle body,B08
356,steel structural member cleaning maintenance device,B08
357,acknowledgement,G04
358,communication protocol,G04
359,data,G04
360,data network,G04
361,data networks,G04
362,flad holder pole,G04
363,flag,G04
364,flag hoist,G04
365,frame,G04
366,header,G04
367,indications of cystoscopy,G04
368,indicative device,G04
369,indicative message,G04
370,indicator,G04
371,message,G04
372,message ringtone,G04
373,red signal,G04
374,signal,G04
375,telecommunication,G04
376,acknowledge,G06
377,address id,G06
378,bus acknowledge,G06
379,bus acknowledgement,G06
380,busy acknowledge,G06
381,busy path,G06
382,data,G06
383,flag pole,G06
384,frame flag,G06
385,header id,G06
386,liveness message,G06
387,negative acknowledgement,G06
388,network,G06
389,null data,G06
390,positive acknowledgement,G06
391,positive acknowledgement packet,G06
392,provide for tuning,G06
393,provide restoring force,G06
394,provided acknowledgement,G06
395,provider networks,G06
396,server message,G06
397,sms acknowledgement,G06
398,tcp acknowledgement,G06
399,window frame,G06
400,acoustic effect,H01
401,acoustic modulator,H01
402,acoustic optical modulator,H01
403,acousto optic element,H01
404,acousto optic modulating element,H01
405,acousto optical element,H01
406,acoustooptic,H01
407,acoustooptic deflector,H01
408,amplifier,H01
409,analog signal,H01
410,beam support,H01
411,electrical drive signal,H01
412,electrooptical,H01
413,electrooptical effect,H01
414,electrooptical modulator,H01
415,isolator,H01
416,laser beam,H01
417,light wave,H01
418,moderator reactor,H01
419,modulator chemistry,H01
420,modulator enzyme,H01
421,modulator medicine,H01
422,optic nerve,H01
423,optical coupler,H01
424,optical frequency shifter,H01
425,optical modulator,H01
426,optical splitter,H01
427,optical splitting coupler,H01
428,optical splitting splitter,H01
429,output coupler,H01
430,output modulator,H01
431,piezoelectric,H01
432,piezoelectric modulator,H01
433,sound signal,H01
434,sound waves,H01
435,acid groups,D21
436,acid units,D21
437,acrylate,D21
438,acrylate functional groups,D21
439,acrylate ion,D21
440,acrylate monomers,D21
441,acrylate units,D21
442,acrylic acid,D21
443,aryl halide,D21
444,carbonyl carbon,D21
445,carboxylic acid groups,D21
446,coametic,D21
447,comonomer,D21
448,contained acrylate groups,D21
449,contained acrylate units,D21
450,contained functional groups,D21
451,contained functional units,D21
452,copolymerized acrylate groups,D21
453,copolymerized acrylate units,D21
454,copolymerized functional groups,D21
455,copolymerized functional units,D21
456,copolymers,D21
457,ester group,D21
458,functional acrylate,D21
459,functional groups,D21
460,group discussion,D21
461,group of students,D21
462,groups,D21
463,interpolymer invention,D21
464,maleic acid groups,D21
465,medical group,D21
466,methacrylate,D21
467,methacrylate groups,D21
468,methacrylate units,D21
469,methyl acrylate,D21
470,methyl methacrylate,D21
471,modified acrylates,D21
472,monomers,D21
473,nitro group,D21
474,paper,D21
475,pendant group,D21
476,polymers,D21
477,prop 2 enoates,D21
478,salts and esters,D21
479,sheet,D21
480,unsaturated groups,D21
481,unsaturated units,D21
482,vinyl group,D21
483,absence,A61
484,activator,A61
485,activator position,A61
486,activator site,A61
487,aperture,A61
488,aperture position,A61
489,aperture site,A61
490,distal extended position,A61
491,distal extended state,A61
492,distal position,A61
493,distal state,A61
494,initial position,A61
495,intermediate position,A61
496,lancing,A61
497,lancing configuration,A61
498,lancing position,A61
499,opening,A61
500,opening position,A61
501,proximal distal position,A61
502,proximal extended position,A61
503,proximal extended state,A61
504,retracted position,A61
505,retracted state,A61
506,use configuration,A61
507,use position,A61
508,activated grid position,B65
509,activated position,B65
510,activating area,B65
511,activating card,B65
512,activating location,B65
513,activating point,B65
514,activating position,B65
515,activating powder,B65
516,activating spot,B65
517,activation function in neural network,B65
518,activation position,B65
519,cell position,B65
520,closed configuration,B65
521,closed position,B65
522,conveyor chain,B65
523,extended position,B65
524,heater tray,B65
525,housing,B65
526,knotter operating mechanism,B65
527,open configuration,B65
528,open point,B65
529,open position,B65
530,operating position,B65
531,outer container,B65
532,position of thyroid gland,B65
533,producing a coil,B65
534,protruding position,B65
535,sealed package,B65
536,spinal cord position,B65
537,activated,G06
538,activated position,G06
539,activating,G06
540,activating condition,G06
541,activating configuration,G06
542,activating positions,G06
543,activation,G06
544,activation condition,G06
545,activation configuration,G06
546,activation position,G06
547,activation state,G06
548,active material,G06
549,active region,G06
550,active transport,G06
551,active working location,G06
552,deactivating position,G06
553,designated port,G06
554,functional location,G06
555,geoposition,G06
556,initial operative position,G06
557,initial runner,G06
558,initial symptoms,G06
559,location finder,G06
560,nodes,G06
561,operating positions,G06
562,operative person,G06
563,positions,G06
564,protected link,G06
565,routing topology,G06
566,working position,G06
567,acetyl chloride,C07
568,acid functionalized acylate,C07
569,acid with acyl introduction,C07
570,acidity,C07
571,acyl groups into acid,C07
572,acylate,C07
573,acylate with chloride,C07
574,acylating agent,C07
575,acylation with acid,C07
576,bouquet,C07
577,cellulose acylate films,C07
578,electrophile,C07
579,fatty acids,C07
580,gastric acidity,C07
581,introduction session,C07
582,metal catalysts,C07
583,modification,C07
584,produce cellulose acylate film,C07
585,self introduction,C07
586,ulcer,C07
587,adapt for training,G16
588,adaptation of polar bear,G16
589,adapted mind,G16
590,adapted vehicle,G16
591,adapter,G16
592,adaptive learning,G16
593,adaptive learning communication,G16
594,channel of communication,G16
595,charger,G16
596,communication channels,G16
597,configured learning,G16
598,constructive learning,G16
599,food adaptation,G16
600,language education,G16
601,language learning,G16
602,provided learning,G16
603,provided learnings,G16
604,speech communication,G16
605,training,G16
606,use for learning,G16
607,verbal communication,G16
608,adaptive,G01
609,adaptive behaviour,G01
610,adaptive equalizer,G01
611,adaptive immunity,G01
612,adaptive linear structured light,G01
613,adaptive modular guideway,G01
614,adaptive radiation,G01
615,adaptive signal,G01
616,adaptive skills,G01
617,adaptive structure,G01
618,adjustable linear,G01
619,array,G01
620,array signal,G01
621,artificial neural network,G01
622,fixed pattern,G01
623,flexible linear,G01
624,interpolation method,G01
625,linear adaptive,G01
626,linear call,G01
627,linear equation,G01
628,machine learning,G01
629,non linear adaptive,G01
630,self adaptive linear,G01
631,signal,G01
632,three dimensional measurement,G01
633,time invariant filter,G01
634,adapting,H04
635,adapting linear,H04
636,adaptive,H04
637,adaptive filter,H04
638,adaptive immunity,H04
639,adaptive linear combiner,H04
640,adaptive linear digital model,H04
641,adaptive linear equalization,H04
642,adaptive linear filter,H04
643,adaptive nature,H04
644,adaptive radiation,H04
645,automatic linear,H04
646,dynamic linear,H04
647,equalizer,H04
648,linear adaptive,H04
649,linear contrast enhancement,H04
650,linear graph,H04
651,linear model,H04
652,linear pair of angles,H04
653,linearly adaptive,H04
654,mp tc,H04
655,network,H04
656,non adaptive speckle filtering,H04
657,non linear model,H04
658,recursion estimator,H04
659,adhering mount,A47
660,adhesive,A47
661,adhesive attachment,A47
662,adhesive bases,A47
663,adhesive forces,A47
664,adhesive layer,A47
665,adhesive mount,A47
666,bracket mount,A47
667,cohesive mount,A47
668,fixation tape,A47
669,fixed mount,A47
670,flange,A47
671,flange comprising including,A47
672,flange comprising mounting,A47
673,flange including,A47
674,flange mounting,A47
675,glue mounting,A47
676,lens mount,A47
677,mountain range,A47
678,mounting,A47
679,mounting a mountain,A47
680,mounting bracket,A47
681,mounting comprising including,A47
682,mounting flange including,A47
683,mounting flange mounting,A47
684,mounting glues,A47
685,mounting needle,A47
686,mounting of file system,A47
687,mounting using adhesives,A47
688,rapid drying,A47
689,releasable mounting,A47
690,removable adhesive mounting,A47
691,screw mount,A47
692,separate adhesive mounting,A47
693,sticking mount,A47
694,temporary mounting,A47
695,adjacent angles,A41
696,adjacent front,A41
697,adjacent lateral surface,A41
698,adjacent lateral surface area,A41
699,adjacent sides,A41
700,adjacent to mall,A41
701,adjacent to office,A41
702,adjacent to side,A41
703,adjacent to station,A41
704,area of the base,A41
705,arranged laterally,A41
706,corresponding inwardly,A41
707,height,A41
708,inwardly,A41
709,lateral communication,A41
710,lateral object,A41
711,lateral speech,A41
712,laterally,A41
713,laterally adjacent,A41
714,laterally on side,A41
715,laterally positioned,A41
716,longitudinally of laterally,A41
717,longitudinally spaced laterally,A41
718,opposite sides,A41
719,radius,A41
720,respective inwardly,A41
721,respective outwardly,A41
722,spaced lateral sides,A41
723,spaced laterally,A41
724,upwardly,A41
725,abutting laterally,B23
726,adjacent,B23
727,adjacent buildings,B23
728,adjacent channel interference,B23
729,adjacent communications,B23
730,adjacent laterally,B23
731,adjacent nerves,B23
732,adjacent sideways,B23
733,adjacent system,B23
734,adjoining laterally,B23
735,awl tip portion,B23
736,closely,B23
737,contiguous laterally,B23
738,cup units,B23
739,immediately,B23
740,insulated metal wire,B23
741,lateral,B23
742,lateral communication,B23
743,laterally,B23
744,laterally adjacent,B23
745,laterally restrained beam,B23
746,separated laterally,B23
747,successive circumferentially,B23
748,successive closely,B23
749,successively,B23
750,threading tool,B23
751,welding coated stamped sections,B23
752,adjust bike speed,C23
753,adjust flow,C23
754,adjust in bus,C23
755,adjust space in home,C23
756,adjustment cost,C23
757,alter gas flow,C23
758,alter the gas flow rate,C23
759,block gas flow,C23
760,controlled gas flow,C23
761,external,C23
762,flower,C23
763,gas,C23
764,gas supply,C23
765,moderate the gas flow rate,C23
766,modify gas flow,C23
767,modify the gas flow rate,C23
768,pressure,C23
769,pressurized supply,C23
770,psychology,C23
771,regulate gas flow,C23
772,regulate the gas flow rate,C23
773,supply gas,C23
774,supply pressure,C23
775,supplying gas,C23
776,supplying pressure,C23
777,supplying processing gas,C23
778,supplying processing substrate,C23
779,supplying the gas,C23
780,supplying the substrate,C23
781,transfer,C23
782,transferring processing gas,C23
783,transferring processing substrate,C23
784,transferring the gas,C23
785,transferring the substrate,C23
786,water pressure,C23
787,adjust fan,F23
788,adjust gas flow rate,F23
789,adjustable table,F23
790,adjusting fluid flow,F23
791,altering gas flow,F23
792,calibrating adjustment,F23
793,changing gas flow,F23
794,control graph,F23
795,control instruments,F23
796,control valve,F23
797,controlling gas flow,F23
798,flow chart,F23
799,flow meter,F23
800,flowing gas,F23
801,gas flow,F23
802,gas pressure adjustment,F23
803,gas regulator,F23
804,measuring unit,F23
805,regulating unit,F23
806,regulator,F23
807,adjustable,B23
808,adjustable multi,B23
809,adjustable multiple,B23
810,adjustable multiple angles,B23
811,adjustable multiple blades,B23
812,adjustable screen brightness,B23
813,adjustable shunt regulator,B23
814,adjustable wifi router,B23
815,adjusted multiple,B23
816,aim adjustable multiple,B23
817,composite material workpiece,B23
818,electronic conductor plates,B23
819,fixed multiple blades,B23
820,flexible multiple,B23
821,grip,B23
822,improved,B23
823,improved boring,B23
824,improved cutting,B23
825,interchangeable,B23
826,multiple adjustable,B23
827,multiple adjustment,B23
828,multiple alterable,B23
829,multiple cancer,B23
830,multiple disease of the brain spinal cord,B23
831,multiple fixed,B23
832,multiple lanes,B23
833,multiple modifiable,B23
834,sliding panel,B23
835,various adjustments,B23
836,adaptable multiple,B25
837,adjustable,B25
838,adjustable eye patch,B25
839,adjustable multiple,B25
840,adjustable screen brightness,B25
841,changeable multiple,B25
842,fixed multiple,B25
843,flexible multiple,B25
844,grip,B25
845,hand machine tool,B25
846,impact mechanism device,B25
847,improved,B25
848,multiple adjustment,B25
849,multiple alterable,B25
850,multiple cancer,B25
851,multiple fixed,B25
852,multiple lanes,B25
853,multiple modifiable,B25
854,multiple personality disorder,B25
855,multiple sclerosis,B25
856,sliding panel,B25
857,various adjustments,B25
858,adding cool effects,A63
859,aesthetic objects,A63
860,aesthetic values,A63
861,aesthetically pleasing,A63
862,animation software,A63
863,artificial sources of aesthetic,A63
864,beautiful design,A63
865,beautiful effect,A63
866,beautiful effects,A63
867,beauty,A63
868,branch of philosophy,A63
869,colorful effect,A63
870,colorful effects,A63
871,colorful flash,A63
872,culture and nature,A63
873,effective communication,A63
874,effects of air pollution,A63
875,effects of smoking,A63
876,effects of soil pollution,A63
877,effects of water pollution,A63
878,esthetics effects,A63
879,interesting effects,A63
880,interesting flash,A63
881,ornamental,A63
882,reflection on art,A63
883,side effects,A63
884,sound mixing,A63
885,video effects,A63
886,visual effects,A63
887,aesthetic effect,D03
888,anesthesia course,D03
889,butterfly effect,D03
890,color mixing,D03
891,cosmetic effect,D03
892,cosmetic effects,D03
893,dyeability,D03
894,effective rainfall,D03
895,effects,D03
896,fabric,D03
897,fabric aesthetic effect,D03
898,fiber brightness,D03
899,fiber size,D03
900,film like effects,D03
901,force effect,D03
902,good appearance,D03
903,greenhouse effect,D03
904,high quality,D03
905,image filtering effects,D03
906,manufacture,D03
907,mass effect,D03
908,properties,D03
909,results,D03
910,textile,D03
911,video editing tools,D03
912,visual effects,D03
913,agitate by means,B01
914,agitated depression,B01
915,agitating means,B01
916,agitating technology,B01
917,apparatus,B01
918,bipolar disorder,B01
919,blending means,B01
920,churning means,B01
921,means end analysis,B01
922,mixing means,B01
923,mixing rod,B01
924,motion,B01
925,movement disorder,B01
926,muscle shivering,B01
927,parkinson,B01
928,rotating,B01
929,shaking,B01
930,shaking means,B01
931,stirring means,B01
932,suspend particles,B01
933,vibration means,B01
934,agitate by means,B28
935,agitate means,B28
936,agitated person,B28
937,agitating means,B28
938,agitation device,B28
939,blend means,B28
940,blending means,B28
941,blending system,B28
942,blood collection means,B28
943,blood pressure means,B28
944,brick products,B28
945,coloring paste,B28
946,fuel pumping means,B28
947,gas purification filter,B28
948,hexagonal brick forming device,B28
949,mixing means,B28
950,nervous agitation,B28
951,reading means,B28
952,stir means,B28
953,thin film solar cell,B28
954,vibrator,B28
955,air breathing fish,B63
956,air chamber,B63
957,air discharge path,B63
958,air discharge side,B63
959,air flow,B63
960,air flow conduit,B63
961,air flow line,B63
962,air flow lines,B63
963,air flow pipe,B63
964,air line,B63
965,air outlet line,B63
966,air passage,B63
967,air passage line,B63
968,air pollution,B63
969,air side,B63
970,air spring,B63
971,air supply conduit,B63
972,air supply line,B63
973,air supply lines,B63
974,air supply path,B63
975,air supply side,B63
976,blood flow through the heart,B63
977,boat stabilizer,B63
978,flow,B63
979,flow line,B63
980,flow lines,B63
981,flow supply line,B63
982,flowchart,B63
983,fluid flow line,B63
984,gas discharge path,B63
985,gas discharge side,B63
986,gas flow line,B63
987,gas passage,B63
988,gas side,B63
989,gas spring,B63
990,gas supply path,B63
991,gas supply side,B63
992,lifeboat,B63
993,line spectrum,B63
994,numerical lifting line,B63
995,passage line system,B63
996,pneumatic flow line,B63
997,shallow draft floating vessel,B63
998,supply unit,B63
999,three controllable hydrofoil displacement boat,B63
1000,water absorbent resin,B63
1001,air current flow,F04
1002,air falls in the lungs,F04
1003,air flow component,F04
1004,air flow into line card,F04
1005,air flow line,F04
1006,air flow pathline,F04
1007,air india,F04
1008,air thrissur,F04
1009,air ticket,F04
1010,airstream line,F04
1011,blower,F04
1012,circulating flow,F04
1013,circulating velocity,F04
1014,flow,F04
1015,flow of the fluid,F04
1016,flow system,F04
1017,flow velocity,F04
1018,gas flow line,F04
1019,hydrostatic piston,F04
1020,hypercube line graph structure,F04
1021,line graph of the road network,F04
1022,main flow,F04
1023,main velocity,F04
1024,non orbiting scroll mounting,F04
1025,slewing upper body,F04
1026,velocity of circulating flow,F04
1027,velocity of the flow,F04
1028,velocity of the fluid,F04
1029,ventilation,F04
1030,water flow line,F04
1031,air aperture,B60
1032,air flow type,B60
1033,air hole,B60
1034,air moves into the lungs,B60
1035,air opening,B60
1036,air openings,B60
1037,air pollution,B60
1038,air pressure of the lungs,B60
1039,air vent housing,B60
1040,air vent opening,B60
1041,air vent openings,B60
1042,air venting opening,B60
1043,air venting openings,B60
1044,air vents,B60
1045,bottom,B60
1046,chamber,B60
1047,conventional air blower,B60
1048,dynamic relationships,B60
1049,flow diagram,B60
1050,gaps,B60
1051,gas vent opening,B60
1052,gas vent openings,B60
1053,gas venting opening,B60
1054,gas venting openings,B60
1055,heart opening,B60
1056,locking wheel,B60
1057,opening,B60
1058,openings,B60
1059,outlet,B60
1060,pressure ventilation,B60
1061,supply opening,B60
1062,supply openings,B60
1063,trailer based collision warning,B60
1064,vehicle safety belt,B60
1065,vent opening,B60
1066,vent openings,B60
1067,vent vents,B60
1068,alight motion,F16
1069,align shaft,F16
1070,align with input pole,F16
1071,align with input rod,F16
1072,align with input shaft,F16
1073,align with output shaft,F16
1074,align with shaft,F16
1075,aligning characteristics,F16
1076,alignment receptacles,F16
1077,brake shoe,F16
1078,helical gear wheel,F16
1079,in line alignment,F16
1080,input devices,F16
1081,input food,F16
1082,input member,F16
1083,intended alignment,F16
1084,ring gear,F16
1085,roller scale,F16
1086,shaft of hair,F16
1087,shaft system,F16
1088,teeth alignment,F16
1089,variable speed gearing,F16
1090,alpha,B32
1091,alpha beta sulfate,B32
1092,alpha brain waves,B32
1093,alpha calcium gypsum,B32
1094,alpha calcium sulfate,B32
1095,alpha centauri,B32
1096,alpha decay,B32
1097,alpha gypsum,B32
1098,alpha gypsum block,B32
1099,alpha gypsum powder,B32
1100,alpha hemihydrate gypsum,B32
1101,alpha motor neuron,B32
1102,alpha particle,B32
1103,alpha rays,B32
1104,alpha sulfate,B32
1105,alpha type gypsum,B32
1106,beta calcium,B32
1107,beta gypsum,B32
1108,beta sulfate,B32
1109,calcium,B32
1110,calcium beta sulfate,B32
1111,calcium gypsum,B32
1112,calcium sulfate,B32
1113,calcium sulphate dihydrate,B32
1114,caso4,B32
1115,composition,B32
1116,delamination resistant two ply laminate,B32
1117,gypsum,B32
1118,heating of gypsum stone under high pressure,B32
1119,laminating,B32
1120,olefinic resins,B32
1121,polymer composition,B32
1122,polymer material,B32
1123,resin,B32
1124,resin composition,B32
1125,resin material,B32
1126,substrate wrap,B32
1127,wooden floor,B32
1128,alkane,C09
1129,alpha,C09
1130,alphabet,C09
1131,alps mountain,C09
1132,blocked,C09
1133,carbon and hydrogen,C09
1134,chemical compound,C09
1135,cyclic compounds,C09
1136,double bonds,C09
1137,gold chain,C09
1138,hydrocarbons,C09
1139,inorganic compound,C09
1140,open chain,C09
1141,organic class,C09
1142,saturated,C09
1143,saturated like hexane,C09
1144,silver chain,C09
1145,single bonds,C09
1146,unsaturated,C09
1147,unsaturated like hexene,C09
1148,air flow,C07
1149,alumina,C07
1150,aluminium chloride,C07
1151,aluminium hydroxide,C07
1152,aluminium oxide,C07
1153,aluminum,C07
1154,aluminum compounds,C07
1155,aluminum containing compounds,C07
1156,aluminum hydroxide,C07
1157,aluminum nitride,C07
1158,aluminum nitride compounds,C07
1159,battery,C07
1160,bauxite,C07
1161,boron compounds,C07
1162,boron containing compounds,C07
1163,boron containing nitride,C07
1164,boron nitride,C07
1165,boron nitride compounds,C07
1166,compounds of aluminium,C07
1167,flower extract,C07
1168,leaf extract,C07
1169,metal,C07
1170,nitrides,C07
1171,oxides,C07
1172,phosphorus,C07
1173,recycle bin,C07
1174,salt,C07
1175,seat belt,C07
1176,text,C07
1177,zeolites,C07
1178,agglutination,C08
1179,alumina,C08
1180,aluminium,C08
1181,aluminium al compound,C08
1182,aluminium al compounds,C08
1183,aluminium catalysts,C08
1184,aluminium compound,C08
1185,aluminium nitride,C08
1186,aluminium oxide,C08
1187,aluminium trichloride,C08
1188,aluminiumi compounds,C08
1189,aluminiumii compounds,C08
1190,aluminum,C08
1191,aluminum catalysts,C08
1192,aluminum compounds,C08
1193,aluminum hydroxide,C08
1194,bauxite,C08
1195,compound,C08
1196,compounds,C08
1197,copper utensils,C08
1198,flower extract,C08
1199,halides,C08
1200,leaf extract,C08
1201,nitrides,C08
1202,oxides,C08
1203,plastic,C08
1204,recycle bin,C08
1205,selenide,C08
1206,sulfide,C08
1207,zeolites,C08
1208,alumina,C02
1209,bonded layers,C02
1210,crystalline aluminosilicates,C02
1211,feldspar compound,C02
1212,glass composition,C02
1213,hydrocarbon compounds,C02
1214,knaalsi3o8,C02
1215,kyanite,C02
1216,molten material,C02
1217,petroleum generating compounds,C02
1218,phase diagram,C02
1219,propana compound,C02
1220,rocks,C02
1221,silicates,C02
1222,sillimanite,C02
