id,anchor,context
181,calling card,G07
182,calling card,G08
183,calling card,H04
184,cap component,B65
185,cap component,D06
186,cap component,F02
187,cap component,F16
188,carburization,B23
189,carburization,C01
190,carburization,C22
191,carburization,F16
192,carpet tiles,A47
193,carpet tiles,B41
194,carpet tiles,B44
195,carpet tiles,B65
196,carrier transportation,G03
197,carrier transportation,H01
198,carry by platform,A63
199,carry by platform,B60
200,carry by platform,B61
201,carry by platform,E02
202,carry by platform,E04
203,carry by platform,E21
204,carry by platform,F16
205,carry by platform,G01
206,catalyst paste,A61
207,catalyst paste,B01
208,catching surface,A01
209,catching surface,B65
210,catching surface,F03
211,catheter distal end,B65
212,cathode layer,B01
213,cathode layer,C25
214,cathode layer,G01
215,cathode layer,G02
216,cement composite,B28
217,cement composite,C04
218,central communication unit,G08
219,central flow path,B01
220,central flow path,F22
221,central flow path,G05
222,central flow path,G21
223,central nucleus,C09
224,cervical support,A47
225,cervical support,A61
226,cervical support,G02
227,chagas disease,A61
228,chagas disease,C07
229,channel vectors,H04
230,chemical activity,B01
231,chemical activity,C04
232,chemical activity,G21
233,chemically modified polymers,C08
234,chip form,D21
235,chip form,H05
236,chirped optical,G06
237,churned,A01
238,circumferential clamp,H01
239,cleaner system,B07
240,cleaner system,D03
241,cleaner system,D06
242,cleaner system,D21
243,cleaner system,F02
244,clear buffer,G02
245,clock input,F41
246,clock input,G04
247,clock input,G05
248,clock input,G07
249,clocked storage,G01
250,clocked storage,H03
251,clods,A01
252,clods,B07
253,clods,B28
254,clods,E01
255,close gate,B65
256,close gate,F03
257,coat with conducting layer,C25
258,coaxial cable transmission,H02
259,coaxial cable transmission,H03
260,cochineal,C13
261,cold state,H01
262,collator,B41
263,collator,B65
264,collator,G11
265,collator,H04
266,color difference signal,H03
267,color difference signal,H04
268,combination function,H04
269,combine with optical elements,G02
270,combine with optical elements,G11
271,combustion elements,F22
272,combustion elements,F24
273,come into relation,B65
274,comfortability,A41
275,comfortability,B62
276,committee,G06
277,committee,G07
278,committee,H04
279,communicate through cavity,F01
280,component composite coating,C08
281,component composite coating,C09
282,component control,A01
283,component control,B60
284,component control,B62
285,component control,F15
286,component control,G06
287,component control,G21
288,composite slurry,C04
289,composite slurry,E21
290,composite tile,C04
291,composite tile,F27
292,compression loss,F01
293,compression loss,F04
294,comprise in refinement,H02
295,conduct cables,F16
296,conduct conducting material,C04
297,conductive position,B23
298,conductor particles,B01
299,conductor particles,H01
300,conductor particles,H05
301,congruency,C02
302,conh2,C09
303,conical path,B60
304,conical path,G04
305,connect to common conductor,B66
306,connect to common conductor,H01
307,connect to common conductor,H03
308,connect to electrode structure,H01
309,connect with conduits,B21
310,connect with conduits,C14
311,connect with conduits,F02
312,connect with conduits,F16
313,connected means,B23
314,connected means,G02
315,connecting lines,G08
316,connecting lines,H01
317,connecting lines,H03
318,connecting lines,H05
319,connection speeds,A63
320,consist of oxalic acid,C04
321,consist of oxalic acid,C23
322,consist of selection,A63
323,contact cable,B61
324,contact cable,H01
325,contain bacterial cells,C12
326,contain based resin,B27
327,contain based resin,B29
328,contain based resin,C08
329,contain based resin,H01
330,contain elastomer,C08
331,contain elastomer,C09
332,contain sulfur compounds,A01
333,contain sulfur compounds,B01
334,contain sulfur compounds,C07
335,contain sulfur compounds,C09
336,contain sulfur compounds,C11
337,contain sulfur compounds,H01
338,container opener,A44
339,container opener,B41
340,container opener,B65
341,container opener,B67
342,container section,A24
343,container section,B02
344,container section,D01
345,content analysis,B66
346,content analysis,D21
347,content analysis,H04
348,control in steps,B24
349,control in steps,G05
350,cooled reaction,C09
351,corresponding toothed,G06
352,coupling arms,A44
353,coupling arms,E05
354,coupling arms,F16
355,coupling arms,H03
356,coupling factor,C04
357,coupling factor,G01
358,coupling factor,H02
359,coupling factor,H03
360,crank,D01
361,crank,D05
362,crank,F42
363,crystal thin,H01
364,crystal thin,H03
365,curing resin composition,C08
366,cut from stack,A01
367,cyanoacrylate polymer,B41
368,cyclic alcohols,C07
369,cyclic alcohols,C10
370,dac system,H03
371,data output circuit,H03
372,data tree,G06
373,decompressor,G01
374,decompressor,H04
375,decoy oligonucleotide,C12
376,decreased power,H01
377,define by memory,G06
378,define panel,B65
379,define panel,C02
380,deflect light,H01
381,deflect light,H04
382,demodulator,B65
383,demodulator,F01
384,demodulator,H02
385,demodulator,H03
386,dental aligners,A61
387,dental aligners,B65
388,derived class,G06
389,descriptive term,G01
390,deteriorated,B23
391,deteriorated,C21
392,deteriorated,E01
393,deteriorated,E02
394,deteriorated,G01
395,deteriorated,G06
396,deteriorated,H04
397,determine from analysis,H04
398,dicy,C08
399,diesel fuel tank,F02
400,different circumferential positions,G01
401,different circumferential positions,G02
402,different conductivity,H02
403,different conductivity,H03
404,diffuse in substrate,A61
405,digital multimeters,G01
406,dihalo compound,C07
407,dimensional location,A61
408,dimensional location,A63
409,dimensional location,E02
410,dimensional location,F41
411,dimensional location,G01
412,dimple arrangement,A63
413,direct received light,H04
414,disk type recording medium,G11
415,disperse in plastic material,B29
416,disperse in plastic material,C01
417,dispersed powder,B29
418,dispersed powder,C04
419,displacement mechanism,A24
420,displacement mechanism,A47
421,displacement mechanism,B41
422,displacement mechanism,B60
423,displacement mechanism,B62
424,displacement mechanism,B66
425,displacement mechanism,F01
426,display different pictures,G02
427,display different pictures,H04
428,display object,A63
429,display object,G01
430,display object,G04
431,dissolve in addition,B08
432,dissolve in glycol,C09
433,dissolve in solvent system,C09
434,dissolving,B67
435,dissolving,C22
436,dissolving,D06
437,dissolving,G03
438,dissolving,G05
439,dissolving,G21
440,distributor pipe,A01
441,distributor pipe,B01
442,distributor pipe,F24
443,distributor pipe,F25
444,dna strand,C07
445,dna strand,C12
446,dna strand,G01
447,dna strand,G06
448,donor plasmid,A01
449,donor plasmid,A61
450,donor plasmid,C12
451,double planetary gear,B29
452,double planetary gear,B60
453,double planetary gear,F16
454,drainage,A01
455,drainage,B21
456,drainage,F22
457,drive balls,B05
458,drive balls,F16
459,dry coating composition1,A23
460,dry corn,C12
461,dual clutch,B60
462,dual clutch,B62
463,dual clutch,F02
464,dual clutch,F16
465,duplex device,H04
466,ecn,G01
467,ecn,H04
468,effective storage,B01
469,effective storage,G01
470,el display,C23
471,el display,G02
472,el display,H01
473,el display,H04
474,elastic assembly,A43
475,elastic assembly,B05
476,elastic assembly,E04
477,elastic assembly,F16
478,elastic repulsive,H01
479,electric field intensities,A61
480,electric starter,A01
481,electric starter,B62
482,electric starter,F16
483,electric starter,F23
484,electric starter,H02
485,electrical current distribution,G01
486,electromagnetic input,G01
487,electromagnetic radiation source,A22
488,electromagnetic radiation source,A41
489,electromagnetic radiation source,B65
490,electromagnetic radiation source,G02
491,elevation view,A21
492,elevation view,B25
493,elevation view,B63
494,elevation view,B66
495,elevation view,C10
496,elevation view,D06
497,elevation view,E06
498,elevation view,F24
499,elevation view,G01
500,elevation view,H01
501,embedding groove,B25
502,embedding groove,F23
503,embossing portion,B44
504,encapsulated pigment,C08
505,encapsulated pigment,C09
506,encapsulated pigment,D21
507,enclose with openings,F21
508,encode form,H04
509,end of bars,D03
510,end pins,A44
511,end pins,F16
512,end pins,G10
513,end pins,H01
514,energy storage spring,B41
515,energy storage spring,D03
516,energy storage spring,G04
517,energy storage spring,H01
518,energy storage spring,H02
519,engage clamp,H01
520,engage in guide slot,B23
521,equip with blocks,B23
522,equip with blocks,B27
523,equipment unit,A63
524,equipment unit,B01
525,equipment unit,H01
526,equipment unit,H02
527,equivalent molar,B01
528,equivalent molar,C01
529,estimated amount,F02
530,estimated amount,G06
531,exclusion limit,C07
532,exhibit symmetry,B23
533,exhibit symmetry,H01
534,exit electrode,B64
535,expandable intraluminal,A61
536,expandable scaffold,A61
537,expandable scaffold,E04
538,extend areas,A24
539,extend areas,H01
540,extend arrangement,B23
541,extend from groove bottom,B60
542,external boundary,C12
543,extracting process,C13
544,extraction location,B29
545,fall to low value,B60
546,fan,A01
547,fan,B61
548,fan,G03
549,fan rotation speed,F01
550,fan rotation speed,F16
551,faucet assembly,A22
552,faucet assembly,A47
553,faucet assembly,B65
554,faucet assembly,E03
555,faucet assembly,F16
556,faucet assembly,G05
557,fdi,G01
558,feed control valve,B23
559,feed control valve,B24
560,feed control valve,F25
561,feed control valve,F41
562,fence post,B23
563,fence post,B29
564,fence post,B41
565,fence post,E04
566,fence post,F21
567,fence post,G06
568,fiber slack,H04
569,fidelity,H02
570,fidelity,H03
571,filled interior,A61
572,filled interior,B29
573,final roll,B41
574,finger actuator,B23
575,finger actuator,B25
576,finger actuator,B65
577,finger actuator,E05
578,fire cartridges,C06
579,fire cartridges,F42
580,fire ring,A47
581,fire ring,E04
582,fire ring,F24
583,fire ring,F27
584,fit within perimeter,B01
585,flexible belt,A01
586,flexible belt,A41
587,flexible belt,A47
588,flexible belt,A63
589,flexible belt,B61
590,flexible belt,B65
591,flexible belt,D06
592,flexible belt,E01
593,flexible belt,G04
594,flexible glass substrate,B29
595,flexible glass substrate,B32
596,flexible glass substrate,B65
597,flexible glass substrate,C03
598,flexible membrane,A46
599,flexible membrane,B01
600,flexible membrane,B21
601,flexible membrane,B22
602,flexible membrane,C02
603,flexible membrane,C12
604,flexible membrane,E01
605,flexible membrane,H01
606,flexible membrane,H02
607,flexible shunt,H01
608,flow openings,A21
609,flow openings,F04
610,flow openings,F24
611,flow openings,G01
612,fluid flow source,A61
613,fluid flow source,G01
614,fluorinated olefin,C08
615,flux regulator,C23
616,flux regulator,H01
617,flux regulator,H02
618,foot side,A43
619,form as body,F16
620,form as body,G02
621,form as body,H04
622,form between direction,H03
623,form by electroforming,D01
624,form cutter,B22
625,form cutter,B27
626,form rivets,B21
627,form tables,B41
628,form trench isolation,H01
629,fountain head,A61
630,fountain head,B05
631,fountain head,B67
632,fountain head,E03
633,fractionate portion,C13
634,frame handle,A01
635,frame handle,A41
636,frame handle,B27
637,frame handle,D05
638,free diameter,B21
639,free fatty acid,A21
640,free fatty acid,A23
641,free fatty acid,B01
642,free fatty acid,C08
643,free fatty acid,C10
644,free fatty acid,C11
645,free fatty acid,C12
646,friction lock,A61
647,friction lock,B62
648,friction lock,E05
649,friction lock,E21
650,ftir spectrometer,G02
651,further additional elements,B81
652,fused layer,B29
653,gas leak,A62
654,gas leak,F16
655,gas leak,F17
656,gas leak,F42
657,gas leak,G08
658,gasoline blend,C10
659,gate insulator film,H01
660,gate location,G01
661,general anesthesia,A61
662,generate control signal,B60
663,generate in layer,G02
664,generate in layer,H01
665,generated electrical power,F02
666,generated electrical power,H02
667,glass part,B41
668,glass part,C03
669,glass part,G04
670,glycitin,B01
671,glycitin,C07
672,gnd,E02
673,gnd,G01
674,gnd,H01
675,gnd,H03
676,gold alloy,A61
677,gold alloy,B01
678,gold alloy,C22
679,gripping layer,B65
680,gripping layer,D05
681,gripping layer,G03
682,guided projectiles,G05
683,guiding elements,E01
684,gutter hanger,A47
685,gutter hanger,E04
686,gutters,A46
687,gutters,B27
688,gutters,B28
689,gutters,B60
690,gutters,B63
691,gutters,B66
692,gutters,E01
693,gutters,E03
694,gutters,G02
695,halocarbyl,C07
696,halocarbyl,C08
697,hanging ring,A46
698,hanging ring,A47
699,hanging ring,B65
700,hanging ring,E21
701,hardware blocks,G06
702,hardware blocks,H04
703,hear aid parameters,H04
704,heart pacemaker,A61
705,heart pacemaker,H01
706,heighth,E04
707,helicase activity,C12
708,her2 targeted,A61
709,herpes,A61
710,herpes,C07
711,herpes,C12
712,herpes,G01
713,hexahydro,C09
714,hexahydro,C13
715,high frequency welding,A43
716,high frequency welding,B29
717,high frequency welding,B65
718,high frequency welding,D06
719,high gradient magnetic separators,A47
720,high gradient magnetic separators,B03
721,high gradient magnetic separators,C02
722,high gradient magnetic separators,E01
723,high gradient magnetic separators,F02
724,hinge mechanisms,A47
725,hinge mechanisms,E05
726,hinge mechanisms,H01
727,hot heat transfer,F22
728,hrb,H04
729,hybrid bearing,B29
730,hybrid bearing,F04
731,hybrid bearing,F16
732,hybrid system,B62
733,hybrid system,C07
734,hybrid system,H01
735,hydrocarbyl substituted succinic,C07
736,hydrocarbyl substituted succinic,C10
737,idle mixture,F02
738,illumination condition,B60
739,illumination condition,G03
740,image signal generation,H04
741,imaging axis,A61
742,imaging axis,G01
743,imaging axis,G02
744,imidazo,A01
745,imidazo,A61
746,imidazo,C09
747,imidazo,C12
748,imidazo,G03
749,implant pellets,A61
750,implement with plurality,A01
751,include contact switch,E04
752,include displacement,B23
753,include retaining elements,A45
754,increase hardness,C08
755,increase hardness,G03
756,index with location,G06
757,indoor room,F24
758,inflow channels,D21
759,ingress buffer,G06
760,ingress buffer,H04
761,inner closed,B24
762,inner closed,E04
763,inner closed,F16
764,inner contact,B23
765,inner contact,B60
766,inner contact,B67
767,inner contact,D21
768,inner contact,F16
769,inner contact,H01
770,inner fluid conduit,F15
771,inner fluid conduit,G01
772,inner peripheral,A63
773,inner peripheral,D01
774,inner peripheral,F27
775,inner peripheral,G11
776,inorganic hybrid,A61
777,inorganic hybrid,B01
778,inorganic hybrid,B32
779,inorganic hybrid,H01
780,insert into trachea,A61
781,insert nucleic acid,C12
782,insertion losses,G01
783,insertion losses,H03
784,instruction processing,G06
785,instruction processing,H04
786,insulation sleeve,C06
787,insulation sleeve,D01
788,insulation sleeve,F28
789,insulation sleeve,H01
790,interconnect site,H01
791,interconnected levers,F16
792,interlock section,E04
793,intermediate connection,B41
794,intermediate connection,E05
795,intermediate connection,G04
796,intermediate speed,D01
797,intermediate speed,F02
798,intermediate speed,F16
799,intermediate speed,H04
800,intruder detection,B60
801,intruder detection,F41
802,intruder detection,G08
803,invertebrate,A01
804,invertebrate,A23
805,invertebrate,A61
806,invertebrate,C12
807,invertebrate,G16
808,involve etherification,C07
809,inward travel,G09
810,issued patent,F23
811,kalanchoe plant,A01
812,key arm,G09
813,key arm,G10
814,key arm,H04
815,key recesses,H01
816,killed,C12
817,killed,G02
818,kraft cooking,C01
819,kraft cooking,D21
820,labeled ligand,C07
821,laminated wall,C03
822,laminated wall,G06
823,lamination method,B32
824,lamination method,G02
825,laser beam optical,G02
826,lateral power,H01
827,length light,G03
828,leveller,B21
829,leveller,F02
830,life testing,A61
831,lift element,B62
832,lift element,D01
833,lift element,E02
834,lifting finger,A01
835,lifting finger,B41
836,lifting finger,G04
837,lifting finger,G11
838,lifting load,B66
839,lifting load,E01
840,light sensitive composition,C07
841,ligninases,C12
842,linear change,G02
843,linear systems,B23
844,linear systems,G06
845,liquid reservoirs,B01
846,liquid reservoirs,F01
847,load distribution system,B63
848,load distribution system,G01
849,locking formation,A47
850,locking formation,B23
851,locking formation,B24
852,locking formation,B60
853,loudspeaker arrays,H04
854,low soc,H01
855,lower stretches,F03
856,lower trunnion,B60
857,lower trunnion,B64
858,lower trunnion,E02
859,lower trunnion,F16
860,machine end,B41
861,machine end,E21
862,magnetically actuated,A47
863,magnetically actuated,A63
864,magnetically actuated,F02
865,magnetically actuated,F04
866,magnetically actuated,F16
867,magnetically actuated,G07
868,magnetically actuated,H01
869,main lane,E01
870,main lane,G08
871,main linear,G03
872,main pulse laser,H01
873,main pulse laser,H05
874,maintain oxygen level,C10
875,make of high density polyethylene,H02
876,make of slabs,E04
877,make of slabs,E21
878,maleic anhydride grafted,C08
879,maleic anhydride grafted,C09
880,map display system,G09
881,mat forming,B28
882,mat sections,A01
883,mat sections,A63
884,mat sections,B07
885,mat sections,B27
886,material formation,A21
887,material formation,H01
888,material item,A41
889,material item,A47
890,material item,B41
891,material item,H04
892,materially less,C03
893,materially less,F22
894,materially less,F42
895,materially less,H01
896,mayenite,B22
897,mayenite,C01
898,mayenite,F27
899,mayenite,H01
900,measure by probe,G01
901,measure surface temperature,B22
902,measure surface temperature,D06
903,measure surface temperature,F23
904,measure surface temperature,G01
905,measure surface temperature,H01
906,medical product,C12
907,medical product,F16
908,medical product,F41
909,medical product,G06
910,melanocyte,A61
911,melanocyte,C12
912,melanocyte,C14
913,melodies,A46
914,melodies,G10
915,melt coating,B05
916,melt coating,B41
917,melt coating,D21
918,membrane vesicle,A61
919,mentioned conveyor,A21
920,mentioned conveyor,B22
921,metal phase,A62
922,metal phase,B01
923,metal phase,B22
924,metal phase,C10
925,metal phase,C22
926,metal phase,G21
927,metallic binder,C09
928,metallic binder,H01
929,metallic cartridges,F42
930,metastatic bone disease,A61
931,metatarsal bones,A41
932,metatarsal bones,A43
933,metatarsal bones,A61
934,methoxyethylamine,C07
935,microchambers,F16
936,microchambers,G01
937,microchambers,H01
938,modify before use,A61
939,moisture absorption rate,D06
940,moisture proof film,H05
941,monocrystalline semiconductor,B23
942,monocrystalline semiconductor,B81
943,monocrystalline semiconductor,G02
944,monocrystalline semiconductor,H01
945,monocrystalline semiconductor,H04
946,morpholin,A61
947,morpholin,C07
948,mount on cylinders,B41
949,mount on cylinders,D04
950,move to range,F15
951,move towards left,B28
952,move towards left,D05
953,movement directions,B23
954,movement directions,B60
955,multiplexed data,H01
956,multiplexed data,H03
957,multiplexed data,H04
958,nail strip,B21
959,nail strip,B28
960,nail strip,F16
961,negative collector,C23
962,network load information,H04
963,neural stimulation,A61
964,neural stimulation,H04
965,new freely flowering,A01
966,non lamellar,A61
967,non polar carrier,C09
968,noncollinear,B28
969,noncollinear,G01
970,noncollinear,G02
971,normal base,B41
972,notch base,H01
973,nozzle receptacle,B01
974,nozzle receptacle,B29
975,nvm array,G11
976,nvm array,H01
977,nvm array,H03
978,obstacle course,A63
979,obstacle course,B60
980,obstacle course,E04
981,obstacle course,G09
982,obtain from fractions,C07
983,offset table,G06
984,offset table,H04
985,oil tankers,B63
986,oil tankers,C12
987,oil tankers,E03
988,olefin production,B01
989,olefin production,C10
990,opaque walls,B29
991,opc drum,F16
992,opc drum,G02
993,opc drum,G03
994,opening assembly,B60
995,opening assembly,B65
996,opening assembly,E05
997,opening assembly,E06
998,operate by vacuum,B60
999,operate internal combustion engine,F01
1000,operate internal combustion engine,F02
1001,operating channel,A61
1002,operating channel,G07
1003,operating channel,H04
1004,operational height,B61
1005,operator identification information,H04
1006,opposing walls,A46
1007,opposing walls,A47
1008,opposing walls,B60
1009,opposing walls,F26
1010,optical glasses,C03
1011,optical glasses,G02
1012,optimal quantity,A01
1013,organic alkaline,C11
1014,organic starting,B61
1015,organic starting,C07
1016,organic starting,C25
1017,orthogonal acceleration,H01
1018,orthogonal acceleration,H05
1019,outer bar,A47
1020,outer bar,B66
1021,outer bar,E01
1022,outer bar,E05
1023,outer cylindrical electrode,F03
1024,output center,B62
1025,output center,D05
1026,oven batteries,C10
1027,overall condition,B62
1028,overall weight,B60
1029,overall weight,C01
1030,overall weight,C11
1031,overall weight,D06
1032,overflow compartment,B22
1033,overflow compartment,F16
1034,overflow device,A47
1035,overflow device,A61
1036,overflow device,E03
1037,overflow device,E04
1038,oxidizing enzyme,B27
1039,oxidizing enzyme,C09
1040,oxidizing enzyme,C11
1041,oxidizing enzyme,C12
1042,oxygen carrier,B01
1043,oxygen carrier,C06
1044,oxygen carrier,C14
1045,oxygen carrier,F23
1046,oxygen lean,C01
1047,oxygen lean,C10
1048,oxygen lean,F25
1049,oxygen value,F02
1050,package member,A45
1051,package member,A61
1052,package member,B65
1053,page file,G09
1054,page file,H04
1055,panel frame,A01
1056,panel frame,C02
1057,panel frame,C25
1058,panel frame,E05
1059,panel frame,E06
1060,panel frame,F16
1061,panel frame,F24
1062,panel frame,H04
1063,paraboloid,A61
1064,paraboloid,B61
1065,paraboloid,E21
1066,paraboloid,F21
1067,paraboloid,F24
1068,paraboloid,G01
1069,parallel force,F28
1070,parallel orientation,A01
1071,parallel orientation,B05
1072,parallel orientation,D04
1073,parallel orientation,G01
1074,parallel orientation,G03
1075,parallel orientation,G06
1076,partial elliptical,F21
1077,particular operational,G01
1078,particular operational,G06
1079,pen based computer,B65
1080,pen based computer,G06
1081,pen based computer,H04
1082,pendent,A43
1083,pendent,A61
1084,pendent,B21
1085,pendent,B27
1086,pendent,B29
1087,pendent,B62
1088,pendent,B65
1089,pendent,D01
1090,pendent,F04
1091,peptide precursor,C07
1092,perfluoroalkyl group,A62
1093,perfluoroalkyl group,A63
1094,perfluoroalkyl group,B23
1095,perfluoroalkyl group,C07
1096,perfluoroalkyl group,C09
1097,perfluoroalkyl group,C11
1098,perfluoroalkyl group,G03
1099,perform desired action,B23
1100,perform working operations,B21
1101,perform working operations,B23
1102,peripheral nervous system stimulation,A61
1103,personage,A47
1104,personage,A63
1105,photocleavable linker,C12
1106,photodefinable,B41
1107,photodefinable,H05
1108,physical transport medium,G06
1109,physical transport medium,H04
1110,pick element,A63
1111,pick element,E21
1112,pick element,G10
1113,pictorial image,A63
1114,pictorial image,G01
1115,pictorial image,G09
1116,pillaring,B01
1117,pillaring,F23
1118,pipe box,A01
1119,pipe box,C10
1120,pipe box,C21
1121,place to set,H04
1122,planar gear sets,F16
1123,plug nozzle,B01
1124,ply tire,B29
1125,ply tire,B60
1126,pneumatic logic,B23
1127,pneumatic logic,B27
1128,pneumatic logic,F15
1129,pneumatic logic,F28
1130,polls,B21
1131,polls,G01
1132,polls,G06
1133,polls,H04
1134,polyglycolic acid,C04
1135,polyglycolic acid,D01
1136,polymeric ester,C07
1137,polymeric ester,C08
1138,portable radio communication,H01
1139,portable radio communication,H04
1140,position enclosure,B65
1141,positioning sheet,A43
1142,post hole diggers,A01
1143,power conversion control,H02
1144,pre established parameters,A43
1145,pre trip,B60
1146,pre trip,F25
1147,pre trip,H01
1148,predetermined acceleration,B27
1149,predetermined acceleration,B66
1150,predetermined acceleration,F42
1151,predetermined acceleration,G01
1152,predetermined relatively,B61
1153,predetermined relatively,H01
1154,preliminary dispersion,G03
1155,preregistration,G03
1156,pressing state,G03
1157,pressure detection,A61
1158,pressure detection,B05
1159,pressure detection,D03
1160,pressure detection,E02
1161,pressure detection,F03
1162,pressure detection,F23
1163,pressure detection,G01
1164,pressure detection,H01
1165,pressure failure,F02
1166,pressure signal,A01
1167,pressure signal,B61
1168,pressure signal,B65
1169,pressure signal,B81
1170,pressure signal,F03
1171,pressure signal,F22
1172,pressure signal,F24
1173,pressure signal,G01
1174,pressure signal,G06
1175,presynaptic,A01
1176,presynaptic,H01
1177,prevent accidental separation,A44
1178,previous batch,D01
1179,previously captured image,G01
1180,previously captured image,H04
1181,produce by pump,B67
1182,produce by recombinant dna technology,C12
1183,produce liquid hydrocarbons,C01
1184,produce liquid hydrocarbons,C10
1185,produce thin layers,B05
1186,produce thin layers,G01
1187,project onto surface,B03
1188,project onto surface,B29
1189,project onto surface,C04
1190,project onto surface,D06
1191,project onto surface,G03
1192,project onto surface,G09
1193,projection method,B23
1194,projection method,G04
1195,prolog,G01
1196,prolog,G06
1197,prolog,H03
1198,prolong span,F16
1199,proper order,A63
1200,proper order,H04
1201,propyl bromide,C09
1202,propyl bromide,C10
1203,propyl bromide,C11
1204,propyl bromide,C23
1205,protocol component,A46
1206,protocol component,H04
1207,protograph,H03
1208,provide acknowledgement,H01
1209,provide by terminals,H04
1210,provide car,B61
1211,provide for tuning,H01
1212,provide in amounts,C04
1213,provide restoring force,E01
1214,provide restoring force,G11
1215,provider networks,H04
1216,psd functions,G06
1217,psd functions,G07
1218,pulping apparatus,B02
1219,pulping apparatus,D06
1220,pulping apparatus,D21
1221,pulse width modulated control,G02
1222,pulsed plasma,C10
1223,pulsed plasma,F03
1224,pulsed plasma,H05
1225,pulverulent material,B22
1226,pulverulent material,F23
1227,pulverulent material,G01
1228,punch face,B05
1229,punch face,B21
1230,pushing pin,B60
1231,pushing pin,F03
1232,radio wave transmission,B29
1233,radio wave transmission,G01
1234,radio wave transmission,H01
1235,radio wave transmission,H04
1236,rear adjustment,E05
1237,receive acceleration,G05
1238,receive via surface,B05
1239,receive via surface,H01
1240,receive via surface,H03
1241,receiver shaft,E21
1242,receiver shaft,F41
